12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20400001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20400001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20400001Imageset' via XML file. (00D820B0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20500001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20500001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20500001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20500001Imageset' via XML file. (00DD84A0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20600001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20600001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20600001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20600001Imageset' via XML file. (00DC5F80)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20700001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20700001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20700001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20700001Imageset' via XML file. (00DC9FC8)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20800001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20800001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20800001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20800001Imageset' via XML file. (00DE27F0)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\20900001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 20900001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\20900001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '20900001Imageset' via XML file. (00DE8A00)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21000001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21000001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21000001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21000001Imageset' via XML file. (00DEEC10)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21200001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21200001Imageset
12/05/2011 15:32:14 (Std) 	---- Source texture file: EQHomeFurnitureIcon\21200001.dds in resource group: (Default)
12/05/2011 15:32:14 (Info) 	Finished creation of Imageset '21200001Imageset' via XML file. (00E11308)
12/05/2011 15:32:14 (Std) 	Attempting to create an Imageset from the information specified in file 'EQHomeFurnitureIcon\Imageset\21300001.imageset'.
12/05/2011 15:32:14 (Std) 	Started creation of Imageset from XML specification:
12/05/2011 15:32:14 (Std) 	---- CEGUI Imageset name: 21300001Imageset
